x, y, theta, stamp, 
0.9712692499160767, 0.9803078174591064, 1.2042691637915397, (1740706199, 104629362), 
0.9824120998382568, 1.0092315673828125, 1.1958009554880502, (1740706199, 205030787), 
0.9923756122589111, 1.034482717514038, 1.1889409865694494, (1740706199, 294873376), 
1.0035353899002075, 1.0622191429138184, 1.1803715383836688, (1740706199, 394574708), 
1.0160646438598633, 1.0919523239135742, 1.1717868790156611, (1740706199, 504629707), 
1.0273808240890503, 1.1182087659835815, 1.163733772807712, (1740706199, 605864530), 
1.0370509624481201, 1.140566349029541, 1.1546139688733155, (1740706199, 694755367), 
1.0477403402328491, 1.165381908416748, 1.1477808923988848, (1740706199, 794589066), 
1.059769868850708, 1.1922310590744019, 1.140638631501003, (1740706199, 904737182), 
1.070501446723938, 1.215504765510559, 1.1344002555993309, (1740706200, 4530495), 
1.0800747871398926, 1.2361935377120972, 1.1299719155585286, (1740706200, 94488768), 
1.0904574394226074, 1.2587546110153198, 1.1256245669866844, (1740706200, 194533220), 
1.1018785238265991, 1.2824279069900513, 1.1254517782010929, (1740706200, 304468032), 
1.1120550632476807, 1.3035686016082764, 1.1236425802800598, (1740706200, 404495938), 
1.1210235357284546, 1.3226414918899536, 1.1226698473404975, (1740706200, 494522772), 
1.1305264234542847, 1.3428500890731812, 1.1214101359678446, (1740706200, 594502145), 
1.141007661819458, 1.36466383934021, 1.1201599126149226, (1740706200, 704437764), 
1.150598168373108, 1.3844068050384521, 1.1201599126149226, (1740706200, 804573282), 
1.1587296724319458, 1.4015799760818481, 1.1198220694008636, (1740706200, 894503444), 
1.1674273014068604, 1.4200059175491333, 1.1209208585313635, (1740706200, 994589434), 
1.1751540899276733, 1.436107873916626, 1.1228899207047833, (1740706201, 85515671), 
1.1854065656661987, 1.457661747932434, 1.1259901301964674, (1740706201, 205514153), 
1.1928120851516724, 1.4732478857040405, 1.128952621442685, (1740706201, 295515678), 
1.200684666633606, 1.4907068014144897, 1.1317083391596052, (1740706201, 394588846), 
1.209069848060608, 1.5090606212615967, 1.136188684362219, (1740706201, 504507025), 
1.2165722846984863, 1.5257062911987305, 1.1399720829139035, (1740706201, 604540237), 
1.2227561473846436, 1.5397655963897705, 1.1428308814961625, (1740706201, 695510649), 
1.2299749851226807, 1.5561625957489014, 1.1477360277238187, (1740706201, 794587504), 
1.2370173931121826, 1.5728391408920288, 1.150597532274812, (1740706201, 904712200), 
1.243796467781067, 1.588228702545166, 1.1549461170684716, (1740706202, 4524972), 
1.2494416236877441, 1.6015946865081787, 1.155957331557199, (1740706202, 95519641), 
1.2553225755691528, 1.6158150434494019, 1.163067682221514, (1740706202, 194540150), 
1.26174795627594, 1.6317261457443237, 1.1675241366061517, (1740706202, 306623459), 
1.2673121690750122, 1.645169734954834, 1.1741020749935667, (1740706202, 403544375), 
1.2724394798278809, 1.6580363512039185, 1.1767451963268523, (1740706202, 496545541), 
1.277698040008545, 1.671249508857727, 1.1810182270895269, (1740706202, 593522422), 
1.282344102859497, 1.683046579360962, 1.1845755403142195, (1740706202, 685738047), 
1.2885873317718506, 1.698411226272583, 1.1876402716132253, (1740706202, 803533363), 
1.292917251586914, 1.709831714630127, 1.1906596976816402, (1740706202, 894515253), 
1.29762601852417, 1.7217856645584106, 1.1939877942144965, (1740706202, 992542802), 
1.302625060081482, 1.7352783679962158, 1.1955583091885515, (1740706203, 104056413), 
1.306902527809143, 1.7464317083358765, 1.1980467355008484, (1740706203, 202647264), 
1.3109477758407593, 1.7570050954818726, 1.1993265192776432, (1740706203, 295545530), 
1.3151018619537354, 1.767992615699768, 1.2007869613760178, (1740706203, 392561635), 
1.3196347951889038, 1.7802091836929321, 1.202046164284366, (1740706203, 504714399), 
1.3234645128250122, 1.790360450744629, 1.2023884020890803, (1740706203, 601546822), 
1.3272067308425903, 1.8002426624298096, 1.2027013027998088, (1740706203, 694559073), 
1.3310420513153076, 1.810501217842102, 1.2020269367785634, (1740706203, 795649756), 
1.3351373672485352, 1.8214317560195923, 1.2026299379624725, (1740706203, 904235778), 
1.33859121799469, 1.830814242362976, 1.2020162397425858, (1740706204, 1570250), 
1.3417781591415405, 1.8397856950759888, 1.2022136127860206, (1740706204, 94556562), 
1.3451439142227173, 1.8489556312561035, 1.2031031732517208, (1740706204, 195641822), 
1.3491103649139404, 1.8592166900634766, 1.2046220886373415, (1740706204, 304557414), 
1.3525656461715698, 1.867595911026001, 1.2038299776435668, (1740706204, 400553559), 
1.355710744857788, 1.8758680820465088, 1.2038299776435668, (1740706204, 495541065), 
1.3588674068450928, 1.8841142654418945, 1.2038299776435668, (1740706204, 594660457), 
1.3622360229492188, 1.893165111541748, 1.2039115763043595, (1740706204, 704096076), 
1.365382432937622, 1.9012467861175537, 1.2030192900426349, (1740706204, 806580289), 
1.3682950735092163, 1.9082796573638916, 1.2017525617451341, (1740706204, 895730909), 
1.3712717294692993, 1.9159890413284302, 1.2012276875209693, (1740706204, 995580601), 
1.3740724325180054, 1.9242498874664307, 1.2026654280203883, (1740706205, 105067145), 
1.3770387172698975, 1.9318941831588745, 1.2026654280203883, (1740706205, 205939073), 
1.3798706531524658, 1.938335657119751, 1.2026654280203883, (1740706205, 295817710), 
1.382315993309021, 1.9452316761016846, 1.201554587650047, (1740706205, 394566871), 
1.384621262550354, 1.9513760805130005, 1.201118530868705, (1740706205, 485080118), 
1.387725591659546, 1.9593850374221802, 1.2025019557086536, (1740706205, 605824980), 
1.3899043798446655, 1.9655224084854126, 1.2025019557086536, (1740706205, 695854297), 
1.3926063776016235, 1.9718748331069946, 1.2025019557086536, (1740706205, 795671667), 
1.3950985670089722, 1.9785983562469482, 1.2025019557086536, (1740706205, 905815291), 
1.3972856998443604, 1.9846464395523071, 1.2025019557086536, (1740706206, 5733054), 
1.3994193077087402, 1.9899824857711792, 1.2036187781662528, (1740706206, 95606876), 
1.4015449285507202, 1.9959471225738525, 1.2036187781662528, (1740706206, 195661644), 
1.403643250465393, 2.0012943744659424, 1.2039022191367421, (1740706206, 285786822), 
1.4062166213989258, 2.008061408996582, 1.2039022191367421, (1740706206, 405678645), 
1.4082432985305786, 2.0128798484802246, 1.2026950850456053, (1740706206, 495570496), 
1.4101043939590454, 2.0183463096618652, 1.2014181844512701, (1740706206, 595831610), 
1.4118520021438599, 2.022839307785034, 1.2011976888371694, (1740706206, 685778237), 
1.4141077995300293, 2.028871536254883, 1.2023540059525148, (1740706206, 805579833), 
1.4159749746322632, 2.033402919769287, 1.2023540059525148, (1740706206, 896601772), 
1.417850136756897, 2.0386173725128174, 1.2023540059525148, (1740706206, 995646491), 
1.4199286699295044, 2.0437209606170654, 1.2023540059525148, (1740706207, 105070546), 
1.4215197563171387, 2.0485241413116455, 1.2016995130717625, (1740706207, 205626332), 
1.4230105876922607, 2.052523374557495, 1.200977789721732, (1740706207, 296793723), 
1.4248148202896118, 2.0566771030426025, 1.1998886020614512, (1740706207, 395653993), 
1.4260585308074951, 2.060436487197876, 1.197734078042911, (1740706207, 485816100), 
