e, e_dot, e_int, stamp, 
0.23255045172019045, 4.1161800624498016e-11, 0.020893348362669886, 1740706193644495962, 
0.23255045172291894, 4.124919326937802e-11, 0.02083629210958548, 1740706193694904178, 
0.23255045173110436, 3.626636258276582e-11, 0.046540052610248704, 1740706193844624804, 
0.23255045173747083, 3.7482305879675235e-11, 0.060443017881835974, 1740706193954817747, 
0.2354140917112261, 0.010520038549464908, 0.04691792231958579, 1740706194045553789, 
0.23740145522454748, 0.024068462346409705, 0.03283040479928977, 1740706194094449108, 
0.2419634300013535, 0.04380343034319026, 0.023625040336188917, 1740706194144710484, 
0.2465959199169234, 0.06125331977055837, 0.024217037566359033, 1740706194194524914, 
0.32293705049160193, 0.5453493127202842, 0.02685742336335102, 1740706194243998996, 
0.327770031049366, 0.5536576421321865, 0.027056483882915972, 1740706194284984270, 
0.3557343578241098, 0.11734857823211149, 0.05382003568031661, 1740706194404425724, 
0.43405910003840115, 0.3681532139408918, 0.0780191042468928, 1740706194494419631, 
0.45634070288232487, 0.3641588060993932, 0.07904522487737155, 1740706194594722790, 
0.49049375978452503, 0.17740127295944, 0.09687085810389738, 1740706194704872183, 
0.5509009815193125, 0.30562114597488077, 0.10469145592905814, 1740706194804422286, 
0.5738385975000249, 0.2872199642778868, 0.10205677729078283, 1740706194894423949, 
0.6036902584839345, 0.18414919686429618, 0.10964759506599639, 1740706194994735354, 
0.62217854256196, 0.155378283195869, 0.12598245562059127, 1740706195104428846, 
0.6383738224346822, 0.11014608902669241, 0.13032934659703754, 1740706195204465587, 
0.6527363224206892, 0.10718031655069095, 0.12117526462020531, 1740706195294429339, 
0.6708163966347703, 0.11348064118304291, 0.124233975707917, 1740706195394432907, 
0.6349719040448076, -0.07187455943786429, 0.12431704100439898, 1740706195484853865, 
0.6375766357880813, -0.12488070581579065, 0.1360592306367935, 1740706195604469470, 
0.6388369107805207, 0.011874240859993878, 0.13419885415670105, 1740706195695484621, 
0.5750711533426854, -0.19035051325244248, 0.12345414726932366, 1740706195804504848, 
0.565549129435138, -0.23486513451866828, 0.111851516981759, 1740706195884055918, 
0.5449869230299687, -0.09682069804650295, 0.1123531925638327, 1740706196004468147, 
0.535924733360366, -0.09012363537332403, 0.11601663320872675, 1740706196095448684, 
0.44911004496531937, -0.3255334572929453, 0.09688692744427999, 1740706196194439820, 
0.4261690507647423, -0.3617945182388416, 0.09835079278975971, 1740706196304527183, 
0.40382389781720307, -0.14401458279544901, 0.08953571512964441, 1740706196404436315, 
0.3861091489848436, -0.13941447216160072, 0.07740329163388787, 1740706196495473219, 
0.37158640008477584, -0.11376175746795585, 0.07357661623467297, 1740706196594471746, 
0.26822111609841737, -0.357551247850294, 0.07202936010567045, 1740706196706102491, 
0.24338589985947123, -0.39367117286429004, 0.06152979399757341, 1740706196803473963, 
0.22898808521220837, -0.13775708798350536, 0.04650273736197071, 1740706196894475614, 
0.21090037517838134, -0.11364288411765795, 0.04327322949159038, 1740706196993470392, 
0.1234669326518778, -0.3225889150494687, 0.03950387822043822, 1740706197104843059, 
0.09741411865869631, -0.35065478428237234, 0.030078058821871274, 1740706197202451536, 
0.07385391415675135, -0.17428581141705804, 0.018633137246715167, 1740706197294502985, 
0.05440301704681905, -0.15145627673915854, 0.014298441592905732, 1740706197392530524, 
0.035963632998198936, -0.12090842096491544, 0.011509442855334279, 1740706197504758800, 
-0.022550387112886927, -0.2564169855100973, 0.004723490919575582, 1740706197601484426, 
-0.038258780149148075, -0.257953449839487, -0.0015712580224934497, 1740706197694481992, 
-0.05063903753203358, -0.09673598943789612, -0.007246510093179298, 1740706197796548405, 
-0.06237679054504541, -0.07664262684805533, -0.010595133832851811, 1740706197904599221, 
-0.07249715387312139, -0.07103973896715826, -0.012671034274853936, 1740706198001456452, 
-0.09515328388917732, -0.1159691430079307, -0.014563136230776855, 1740706198094530687, 
-0.10229967651838212, -0.10471707359747, -0.017466684105479344, 1740706198195566584, 
-0.1099708164188824, -0.04704741031822901, -0.021518016381457953, 1740706198304514605, 
-0.11346993239617587, -0.035622126150051864, -0.022251499142510185, 1740706198400498156, 
-0.11603609259152181, -0.02125350656763124, -0.021496167989304683, 1740706198494478974, 
-0.10713420541931917, 0.02054617525105946, -0.02177673617144712, 1740706198594563519, 
-0.1075548644250337, 0.028372406274656644, -0.023152847584835875, 1740706198704497898, 
-0.10581933457452664, 0.004440355278303033, -0.022558031387208768, 1740706198805709602, 
-0.1046290421059215, 0.010134910459918255, -0.02024580789232124, 1740706198895494139, 
-0.1019150547230796, 0.0135577083860091, -0.01965574713276322, 1740706198994487274, 
-0.10074926015474817, 0.012666791825822888, -0.021421954913071667, 1740706199104629362, 
-0.07155991901327274, 0.1004369411690982, -0.01924537785105532, 1740706199205030787, 
-0.06777936760996028, 0.11093536257366647, -0.015225136284823304, 1740706199294873376, 
-0.06258950179266343, 0.03137795060098037, -0.012758124773042799, 1740706199394574708, 
-0.05712107533891553, 0.03391408378151811, -0.013109067636126005, 1740706199504629707, 
-0.05170900562168623, 0.034382892702364894, -0.012073071042417225, 1740706199605864530, 
-0.04501157325541105, 0.04293500560287574, -0.009749748681103738, 1740706199694755367, 
-0.010544227543767493, 0.1401973567308099, -0.0067478336069691745, 1740706199794589066, 
-0.003942607488485628, 0.13506054446808574, -0.004164527920618256, 1740706199904737182, 
0.002214334853613442, 0.0405436563486234, -0.0008588354083021231, 1740706200004530495, 
0.0066137197935280945, 0.03686722391062593, 0.0003090071155580508, 1740706200094488768, 
0.010840416433172129, 0.030384304994347678, 0.00124568770061443, 1740706200194533220, 
0.011710799334459843, 0.01672181665900988, 0.0020413439012466057, 1740706200304468032, 
0.014161905111454098, 0.010807161122249392, 0.0025694622153451534, 1740706200404495938, 
0.041511338257083086, 0.10943207761764179, 0.004268885572022332, 1740706200494522772, 
0.04377000362465422, 0.10879444227215845, 0.006298278057646818, 1740706200594502145, 
0.046457384644517985, 0.015678785789950713, 0.009217977908283022, 1740706200704437764, 
0.047983879892454784, 0.013229779167098485, 0.009678066082974961, 1740706200804573282, 
0.04944167242592634, 0.01048485578195535, 0.009115736084750185, 1740706200894503444, 
0.049578901501876826, 0.005860461789659067, 0.009311073547262372, 1740706200994589434, 
0.04893868650787492, -0.0018899750682155683, 0.009420675947030619, 1740706201085515671, 
0.04760206489659802, -0.006059897092150224, 0.010273415576549785, 1740706201205514153, 
0.04599044605802316, -0.009681742299508607, 0.00997718415494752, 1740706201295515678, 
0.04416301462170735, -0.012117281201620837, 0.00868202790246599, 1740706201394588846, 
0.06045313007843078, 0.043252308164926444, 0.01049182475654196, 1740706201504507025, 
0.05782641918053377, 0.04064793582975586, 0.011368347414784475, 1740706201604540237, 
0.055800906530433014, -0.016174669440288128, 0.011083332641115572, 1740706201695510649, 
0.05191945354553562, -0.020480601033205394, 0.010487237652783527, 1740706201794587504, 
0.0497664645940783, -0.019575549082281037, 0.01098216266101296, 1740706201904712200, 
0.046471873873379144, -0.017519390433793403, 0.010367957239892795, 1740706202004524972, 
0.04609191042460581, -0.01239445800369686, 0.009052556855995892, 1740706202095519641, 
0.03951108992544605, -0.02354494456042165, 0.008365410244964285, 1740706202194540150, 
0.03545826412468389, -0.03420607166611161, 0.008518831714174828, 1740706202306623459, 
0.02943284248710909, -0.03277582771781227, 0.0072735000585211085, 1740706202403544375, 
0.02705067200446587, -0.029260949976677497, 0.005820591339194319, 1740706202496545541, 
0.023047445690760116, -0.022298209443645616, 0.005036378830491594, 1740706202593522422, 
0.019666487086727802, -0.025981277595931718, 0.004399646802932473, 1740706202685738047, 
0.017146478335068105, -0.01935224492339109, 0.004190447088798249, 1740706202803533363, 
0.014050674122700002, -0.01847323775382544, 0.003539722850363656, 1740706202894515253, 
0.010930593894469709, -0.02195173470497225, 0.0026541805681235884, 1740706202992542802, 
0.009071435766654368, -0.016166878227103453, 0.0023784810173329623, 1740706203104056413, 
0.006584069930269276, -0.013967067924801587, 0.0018619527171093732, 1740706203202647264, 
0.005288006987074656, -0.013060199122313473, 0.0013368182502457116, 1740706203295545530, 
0.0037201778079825054, -0.010037308868409199, 0.000987064416210716, 1740706203392561635, 
0.0021764648729276637, -0.009974960452295952, 0.0007798268404045372, 1740706203504714399, 
0.0017060093386187525, -0.006207609196962969, 0.0005296138846657265, 1740706203601546822, 
0.0012898771242184637, -0.0031108003615967464, 0.0003273144510505827, 1740706203694559073, 
0.001754222623731705, 3.980182022344751e-05, 0.0003073367035076959, 1740706203795649756, 
0.0009342336659530215, -0.0009860529365542338, 0.00027805461387287405, 1740706203904235778, 
0.0012249867924676305, -0.0015214533803218002, 0.00026861937757256533, 1740706204001570250, 
0.0004597449369025952, -0.0017474878656541717, 0.00016614784910226347, 1740706204094556562, 
-0.0008012305979587797, -0.006901331414547858, 5.71541511455993e-05, 1740706204195641822, 
-0.002310510058937343, -0.008777235803282083, -0.00018564045356633143, 1740706204304557414, 
-0.0010178927824320283, -0.00013067582015814996, -0.00028207012040867184, 1740706204400553559, 
-0.0011207484872592932, 0.004127489991170123, -0.00028323838819766775, 1740706204495541065, 
-0.0011768849747426646, -0.0005497287524352832, -0.0002145221715148903, 1740706204594660457, 
-0.0015574147724828347, -0.0013478515414133633, -0.0002679965423161688, 1740706204704096076, 
-0.000599494236114051, 0.0019566011410952736, -0.00023549902029064274, 1740706204806580289, 
0.0011715567795738124, 0.0097376117726535, -6.294260328500479e-05, 1740706204895730909, 
0.0017103146846191297, 0.008420506230395522, 0.00014379000273620187, 1740706204995580601, 
-0.0007508177824349094, -0.005694389573333024, 0.00014870225215105615, 1740706205105067145, 
-0.0007202568303328327, -0.007391963354518668, 1.677539198527604e-05, 1740706205205939073, 
0.00023488320290598885, 0.003643321721707199, -7.860140329309198e-05, 1740706205295817710, 
0.0007382523370871308, 0.005241483189472682, 1.5899984721433753e-05, 1740706205394566871, 
0.000978064586413474, 0.0025823078510361346, 0.00012309627813787208, 1740706205485080118, 
-0.0003756467048130485, -0.0028539551049263996, 9.440915173084986e-05, 1740706205605824980, 
-0.0009636576988714118, -0.005914221516970634, -2.5380008635800717e-05, 1740706205695854297, 
-0.00020182938240043136, 0.00036696464860204767, -9.752638117066114e-05, 1740706205795671667, 
-0.0005352370898767944, 0.0015350650130267693, -0.00011902857916473138, 1740706205905815291, 
-0.0010287753846149883, -0.002655490617078536, -0.00012364506322714466, 1740706206005733054, 
