x, y, th, stamp, 
-1.3098570108413696,-0.43633607029914856,-3.0040431153177614,1.006588948
-1.3124958276748657,-0.43689101934432983,-2.997381940836301,1.065339847
-1.3204392194747925,-0.43817609548568726,-2.9813346737487247,1.095818333
-1.3280253410339355,-0.4395141303539276,-2.96671417778174,1.161252021
-1.3351646661758423,-0.4411463737487793,-2.9516680473344166,1.203738108
-1.3456164598464966,-0.44352251291275024,-2.931003556152314,1.241107569
-1.3578752279281616,-0.4464836120605469,-2.90567470664735,1.289567175
-1.3717674016952515,-0.4502922594547272,-2.87798639113185,1.347403364
-1.3873809576034546,-0.4549314081668854,-2.844613011113159,1.394721027
-1.4083094596862793,-0.46182385087013245,-2.8018899057946007,1.44717671
-1.4263514280319214,-0.4686242341995239,-2.7682135371560634,1.501000261
-1.443891167640686,-0.4757285416126251,-2.7303001906946744,1.541550485
-1.4572404623031616,-0.4816448390483856,-2.7001071240249015,1.596916256
-1.47344172000885,-0.48995569348335266,-2.6634879650659493,1.641772977
-1.4900373220443726,-0.4988459646701813,-2.624539924752986,1.690836994
-1.5061179399490356,-0.5081784129142761,-2.587693414545801,1.741389661
-1.5216064453125,-0.5183677077293396,-2.5509100452302675,1.794692244
-1.5339906215667725,-0.5266444087028503,-2.521011094510305,1.845472066
-1.5550978183746338,-0.5424299240112305,-2.4693027863565113,1.890968666
-1.5695000886917114,-0.5543420910835266,-2.4308729200313466,1.94151523
-1.580714464187622,-0.5640674233436584,-2.3988234426025574,1.990413294
-1.5940967798233032,-0.5770247578620911,-2.3620329258058312,2.040720939
-1.6070165634155273,-0.5903019309043884,-2.3243846249588604,2.090852694
-1.61952805519104,-0.6040781140327454,-2.287098894053454,2.145623435
-1.631603479385376,-0.6185495257377625,-2.2502974719979734,2.19442484
-1.6409857273101807,-0.6300783157348633,-2.219399165899793,2.243289878
-1.6561174392700195,-0.6512346267700195,-2.169050686484164,2.292176502
-1.6663051843643188,-0.6668547987937927,-2.1327071872634726,2.340157196
-1.6741548776626587,-0.6795572638511658,-2.1038402030338097,2.39089515
-1.683119297027588,-0.6958726644515991,-2.0669700286712236,2.440232681
-1.6918299198150635,-0.7122013568878174,-2.0274949359760512,2.490346441
-1.6998417377471924,-0.7291877269744873,-1.9891592465226988,2.541188225
-1.7070313692092896,-0.7463590502738953,-1.9513976797970718,2.594123095
-1.7124574184417725,-0.7600795030593872,-1.9213935935668423,2.643711172
-1.718643069267273,-0.777948796749115,-1.8834284758332325,2.691498094
-1.7260304689407349,-0.8031473755836487,-1.8309248157994915,2.740728972
-1.7299190759658813,-0.8174785375595093,-1.8007724124553173,2.789229942
-1.7336863279342651,-0.8357219696044922,-1.763784679012343,2.840416786
-1.7370388507843018,-0.8539068698883057,-1.726658861555044,2.889253675
-1.7396687269210815,-0.8724880814552307,-1.6895187955107747,2.940302537
-1.7414820194244385,-0.8909670114517212,-1.6513949419015388,2.995035765
-1.7427555322647095,-0.9060723185539246,-1.6195182348435577,3.044108834
-1.7430475950241089,-0.9249759912490845,-1.584344001303226,3.095314586
-1.742914080619812,-0.950764000415802,-1.534904258388748,3.146376063
-1.7422090768814087,-0.965635359287262,-1.5060651097457811,3.189807088
-1.7405765056610107,-0.9840683341026306,-1.4692222303590914,3.252387875
-1.7386082410812378,-1.0024871826171875,-1.4296952596056238,3.289898876
-1.7353276014328003,-1.0207135677337646,-1.3921320639870114,3.340186946
-1.7318135499954224,-1.0385956764221191,-1.3543324843055424,3.393417769
-1.7285443544387817,-1.0530849695205688,-1.3243232299864742,3.445284008
-1.7215099334716797,-1.0783027410507202,-1.2735097919431138,3.49132984
-1.715796947479248,-1.0961034297943115,-1.2350403485791854,3.54023809
-1.7105094194412231,-1.1104111671447754,-1.2055165052940278,3.589235309
-1.7034192085266113,-1.1276441812515259,-1.1686763298636051,3.639172131
-1.6959724426269531,-1.1445426940917969,-1.131705343292969,3.689567811
-1.6875770092010498,-1.1612112522125244,-1.0953838342266577,3.740697538
-1.6791441440582275,-1.177310824394226,-1.0575839211529117,3.789916825
-1.6717731952667236,-1.1902598142623901,-1.0263476471356503,3.84251088
-1.6615175008773804,-1.206241250038147,-0.9893070090934384,3.892481423
-1.6471105813980103,-1.2275183200836182,-0.9377595860829981,3.94007453
-1.6375815868377686,-1.239723563194275,-0.9078839960195265,3.989252575
-1.626075029373169,-1.2540111541748047,-0.8709625425939792,4.039318164
-1.6139023303985596,-1.2682901620864868,-0.8323190577751319,4.089190852
-1.600940465927124,-1.2815639972686768,-0.7959750955558588,4.139508434
-1.5881373882293701,-1.294480323791504,-0.758452215369896,4.189961938
-1.5769621133804321,-1.3047170639038086,-0.7285841600469973,4.244139567
-1.557677984237671,-1.3209782838821411,-0.6796266402031249,4.290683254
-1.5486937761306763,-1.3284006118774414,-0.6542280347861513,4.340653478
-1.5305860042572021,-1.3414860963821411,-0.6106016658121813,4.389276932
-1.5152782201766968,-1.3520050048828125,-0.5735495960610912,4.43930514
-1.4993809461593628,-1.361891269683838,-0.536599724213548,4.489118289
-1.4839298725128174,-1.370418906211853,-0.5031306342570141,4.539217736
-1.4676748514175415,-1.3790949583053589,-0.4654093067723927,4.593353783
-1.4465835094451904,-1.3889328241348267,-0.41943323427352525,4.643023714
-1.4301954507827759,-1.395918369293213,-0.38463549373430933,4.692272207
-1.4130568504333496,-1.402881383895874,-0.3482277279055737,4.739820881
-1.398344874382019,-1.40774405002594,-0.3182386169812398,4.78987501
-1.3806662559509277,-1.4132801294326782,-0.28014712721795765,4.839152928
