x, y, theta, stamp, ,
1.267312169,1.645169735,1.174102075,1740706202, 403544375), 
1.27243948,1.658036351,1.176745196,1740706202, 496545541), 
1.27769804,1.671249509,1.181018227,1740706202, 593522422), 
1.282344103,1.683046579,1.18457554,1740706202, 685738047), 
1.288587332,1.698411226,1.187640272,1740706202, 803533363), 
1.292917252,1.709831715,1.190659698,1740706202, 894515253), 
1.297626019,1.721785665,1.193987794,1740706202, 992542802), 
1.30262506,1.735278368,1.195558309,1740706203, 104056413), 
1.306902528,1.746431708,1.198046736,1740706203, 202647264), 
1.310947776,1.757005095,1.199326519,1740706203, 295545530), 
1.315101862,1.767992616,1.200786961,1740706203, 392561635), 
1.319634795,1.780209184,1.202046164,1740706203, 504714399), 
1.323464513,1.790360451,1.202388402,1740706203, 601546822), 
1.327206731,1.800242662,1.202701303,1740706203, 694559073), 
1.331042051,1.810501218,1.202026937,1740706203, 795649756), 
1.335137367,1.821431756,1.202629938,1740706203, 904235778), 
1.338591218,1.830814242,1.20201624,1740706204, 1570250), 
1.341778159,1.839785695,1.202213613,1740706204, 94556562), 
1.345143914,1.848955631,1.203103173,1740706204, 195641822), 
1.349110365,1.85921669,1.204622089,1740706204, 304557414), 
1.352565646,1.867595911,1.203829978,1740706204, 400553559), 
1.355710745,1.875868082,1.203829978,1740706204, 495541065), 
1.358867407,1.884114265,1.203829978,1740706204, 594660457), 
1.362236023,1.893165112,1.203911576,1740706204, 704096076), 
1.365382433,1.901246786,1.20301929,1740706204, 806580289), 
1.368295074,1.908279657,1.201752562,1740706204, 895730909), 
1.371271729,1.915989041,1.201227688,1740706204, 995580601), 
1.374072433,1.924249887,1.202665428,1740706205, 105067145), 
1.377038717,1.931894183,1.202665428,1740706205, 205939073), 
1.379870653,1.938335657,1.202665428,1740706205, 295817710), 
1.382315993,1.945231676,1.201554588,1740706205, 394566871), 
1.384621263,1.951376081,1.201118531,1740706205, 485080118), 
1.387725592,1.959385037,1.202501956,1740706205, 605824980), 
1.38990438,1.965522408,1.202501956,1740706205, 695854297), 
1.392606378,1.971874833,1.202501956,1740706205, 795671667), 
1.395098567,1.978598356,1.202501956,1740706205, 905815291), 
1.3972857,1.98464644,1.202501956,1740706206, 5733054), 
1.399419308,1.989982486,1.203618778,1740706206, 95606876), 
1.401544929,1.995947123,1.203618778,1740706206, 195661644), 
1.40364325,2.001294374,1.203902219,1740706206, 285786822), 
1.406216621,2.008061409,1.203902219,1740706206, 405678645), 
1.408243299,2.012879848,1.202695085,1740706206, 495570496), 
1.410104394,2.01834631,1.201418184,1740706206, 595831610), 
1.411852002,2.022839308,1.201197689,1740706206, 685778237), 
1.4141078,2.028871536,1.202354006,1740706206, 805579833), 
1.415974975,2.03340292,1.202354006,1740706206, 896601772), 
1.417850137,2.038617373,1.202354006,1740706206, 995646491), 
1.41992867,2.043720961,1.202354006,1740706207, 105070546), 
1.421519756,2.048524141,1.201699513,1740706207, 205626332), 
1.423010588,2.052523375,1.20097779,1740706207, 296793723), 
1.42481482,2.056677103,1.199888602,1740706207, 395653993), 
1.426058531,2.060436487,1.197734078,1740706207, 485816100), 
1.428167701,2.065340281,1.204364666,1740706207, 605594387), 
1.429232717,2.068810225,1.202887928,1740706207, 696591017), 
1.42958498,2.069934368,1.203307563,1740706207, 795954428), 
1.42823267,2.065548182,1.19869955,1740706207, 905700209), 
1.424975872,2.058825016,1.181037797,1740706208, 5622199), 
1.42294693,2.054946184,1.139057956,1740706208, 77626578), 
1.42294693,2.054946184,1.049242568,1740706208, 194589966), 
1.42294693,2.054946184,0.944081343,1740706208, 293637509), 
1.42294693,2.054946184,0.768380187,1740706208, 403618971), 
1.42294693,2.054946184,0.569308018,1740706208, 503575179), 
1.42294693,2.054946184,0.386023989,1740706208, 593607336), 
1.42294693,2.054946184,0.172716927,1740706208, 693798737), 
1.42294693,2.054946184,-0.069024586,1740706208, 803624304), 
1.42294693,2.054946184,-0.285339998,1740706208, 902624234), 
1.42294693,2.054946184,-0.46443689,1740706208, 992672377), 
1.42294693,2.054946184,-0.660780417,1740706209, 112036451), 
1.42294693,2.054946184,-0.75029782,1740706209, 202610159), 
1.42294693,2.054946184,-0.834093629,1740706209, 302605672), 
1.42294693,2.054946184,-0.906846529,1740706209, 382640089), 
1.42294693,2.054946184,-0.959795887,1740706209, 442571085), 
1.42294693,2.054946184,-1.126980192,1740706209, 601633576), 
1.42294693,2.054946184,-1.245837847,1740706209, 701621693), 
1.42294693,2.054946184,-1.376324463,1740706209, 801676935), 
1.42294693,2.054946184,-1.504722812,1740706209, 911860279), 
1.42294693,2.054946184,-1.606608556,1740706210, 1638220), 
1.42294693,2.054946184,-1.678087902,1740706210, 100602249), 
1.42294693,2.054946184,-1.663373178,1740706210, 200689063), 
1.42294693,2.054946184,-1.625672264,1740706210, 310205795), 
1.42294693,2.054946184,-1.589879641,1740706210, 390621980), 
1.42294693,2.054946184,-1.502661462,1740706210, 500641378), 
1.42294693,2.054946184,-1.45702172,1740706210, 600710671), 
1.42294693,2.054946184,-1.450435774,1740706210, 709038813), 
1.42294693,2.054946184,-1.468378157,1740706210, 789467724), 
1.42294693,2.054946184,-1.515042777,1740706210, 899713943), 
1.42294693,2.054946184,-1.523192187,1740706210, 999720456), 
1.42294693,2.054946184,-1.495966878,1740706211, 109046034), 
1.42294693,2.054946184,-1.404108844,1740706211, 209914392), 
1.42294693,2.054946184,-1.294335632,1740706211, 298683656), 
1.42294693,2.054946184,-1.159131841,1740706211, 398602872), 
1.42294693,2.054946184,-1.017008563,1740706211, 508706187), 
1.42294693,2.054946184,-0.916868724,1740706211, 608713897), 
1.42294693,2.054946184,-0.854444907,1740706211, 698787405), 
1.42294693,2.054946184,-0.781452584,1740706211, 798939599), 
1.42294693,2.054946184,-0.68674079,1740706211, 906979771), 
1.42294693,2.054946184,-0.593234472,1740706212, 7811597), 
1.42294693,2.054946184,-0.487392994,1740706212, 97642461), 
1.42294693,2.054946184,-0.367802074,1740706212, 197691791), 
1.42294693,2.054946184,-0.262940961,1740706212, 297016091), 
1.42294693,2.054946184,-0.17071248,1740706212, 407645537), 
1.42294693,2.054946184,-0.120611317,1740706212, 496671270), 
1.42294693,2.054946184,-0.096073641,1740706212, 596650881), 
1.42294693,2.054946184,-0.091589556,1740706212, 696000100), 
1.42294693,2.054946184,-0.076881921,1740706212, 806686715), 
1.42294693,2.054946184,-0.077634427,1740706212, 886650673), 
