e, e_dot, e_int, stamp, 
-2.356194490255299, 1.1536230902446125e-11, -0.3396059648002636, 1740704292601807495, 
-2.3561944902561742, -8.26124672336439e-12, -0.32336060344143874, 1740704292643194679, 
-2.3561944902554686, -5.387611587995406e-12, -0.3866870284143089, 1740704292711217543, 
-2.3561944902545346, 1.4491876092140515e-11, -0.4177774223348337, 1740704292761401509, 
-2.356194490253607, 1.4385275090176802e-11, -0.5000584305989645, 1740704292852705136, 
-2.3561944902553553, -3.7369337225638194e-12, -0.6731024080004284, 1740704292951850532, 
-2.3561944902600227, -3.460535122705762e-11, -0.6702437244051193, 1740704293042345317, 
-2.356149896436862, 0.0001887613831742207, -0.7373086096926451, 1740704293160467510, 
-2.329778963125176, 0.1416090571753463, -0.7442053316404758, 1740704293253703538, 
-2.276161275366899, 0.4177602055771306, -0.662268970289008, 1740704293350717552, 
-2.1958003539974813, 0.7161051777178522, -0.6406627005349997, 1740704293442085524, 
-2.066623311004805, 0.9868962418652114, -0.6846468662559188, 1740704293560134994, 
-1.9432100643350898, 1.2052702303945133, -0.6572035754153821, 1740704293653894214, 
-1.815270116018905, 1.31882972895053, -0.5550803154267984, 1740704293750717124, 
-1.692065942707655, 1.3306835565449306, -0.5144423612802619, 1740704293842661486, 
-1.5564904212807633, 1.3484133867021855, -0.4857839336241349, 1740704293942581492, 
-1.421284515131765, 1.2914892746290876, -0.4907763224467418, 1740704294052851227, 
-1.2975978113643905, 1.2261521202899195, -0.45135630411144334, 1740704294153723926, 
-1.1636863490318334, 1.2261323382584557, -0.40784491184192195, 1740704294262941477, 
-1.0451572771760562, 1.2283069835369937, -0.360360971609997, 1740704294359266199, 
-0.9667458063514842, 1.0344457734804147, -0.3014468535330991, 1740704294452794013, 
-0.9250094263201751, 0.6256346427819951, -0.28577705445791585, 1740704294553876732, 
-0.8874457582513622, 0.418552960234844, -0.26351255023449627, 1740704294642425890, 
-0.8338363909984854, 0.44153398994109283, -0.27175029510821647, 1740704294759258707, 
-0.8113493774666352, 0.3495064786718017, -0.2665179722856603, 1740704294852893121, 
-0.8006256031286829, 0.17323190882005435, -0.2378681847246739, 1740704294953769361, 
-0.8061655077020959, 0.022068079325950122, -0.22970531189649265, 1740704295042878205, 
-0.8007477504316938, -0.007744861809243785, -0.24697686729568044, 1740704295158938940, 
-0.7761020481069711, 0.15471368212793854, -0.2500508243549477, 1740704295252739068, 
-0.7442013979884539, 0.29064169512384863, -0.2250812856611741, 1740704295352886653, 
-0.7078033810542221, 0.32451916866363983, -0.2342599132532406, 1740704295463016161, 
-0.6781255123788785, 0.31141564147835443, -0.22542268042014071, 1740704295564538195, 
-0.6450523532083108, 0.3336344944317208, -0.19267037641026025, 1740704295652747481, 
-0.594600313192498, 0.439713444573105, -0.18047813460412632, 1740704295752754055, 
-0.5399546770639749, 0.5578896391922392, -0.16852902808919257, 1740704295842147720, 
-0.4904741517252824, 0.5514548972947713, -0.15441192253825836, 1740704295942796090, 
-0.4510755943034943, 0.42481529959774156, -0.15607371833729355, 1740704296052843977, 
-0.41757621993109684, 0.35546926509157606, -0.13928795059517357, 1740704296147763038, 
-0.3837173775575353, 0.3452922605912963, -0.12222770394252908, 1740704296248038341, 
-0.3436291084378036, 0.34953980570586596, -0.12090032054327901, 1740704296358956894, 
-0.32401317238501326, 0.2810015898949476, -0.10971645127137218, 1740704296456751792, 
-0.31676138505005724, 0.1396954811250951, -0.09342614211975174, 1740704296548769560, 
-0.3187556342616098, 0.029238808801686247, -0.09120677791979535, 1740704296646858948, 
-0.31273153862533265, 0.016456963731396164, -0.1001487285742168, 1740704296759998415, 
-0.3068708817965473, 0.05715674432806705, -0.09810901579580737, 1740704296855966794, 
-0.30376411855703944, 0.047452508763647455, -0.08669746423084065, 1740704296947784003, 
-0.3041805194095182, 0.01480519092099777, -0.08706757807123976, 1740704297046316818, 
-0.29651146941226747, 0.031983658164980625, -0.09541705774454255, 1740704297158777233, 
-0.27979634465888337, 0.119364032566281, -0.09266099324869201, 1740704297256793186, 
-0.26513625360872295, 0.1658591712004518, -0.07950329411320074, 1740704297347745929, 
-0.24981530468895796, 0.15644217070613647, -0.07627485787133516, 1740704297448740488, 
-0.2303971119406878, 0.16475975801823212, -0.07833491802546699, 1740704297557942636, 
-0.21350901349994844, 0.17700878402559223, -0.07112344137587871, 1740704297653789484, 
-0.1917715296037934, 0.19678841006774694, -0.062247265637003786, 1740704297753788015, 
-0.17012472640493037, 0.2290379744485076, -0.05464394229051063, 1740704297843721503, 
-0.14359064695807167, 0.2306657531154212, -0.05312581114115374, 1740704297963984603, 
-0.12643062669620475, 0.20692087631972284, -0.04601271495713346, 1740704298052800831, 
-0.11743875788121994, 0.14157639517084203, -0.03657378384772201, 1740704298152771992, 
-0.11353913699224094, 0.06655371237290697, -0.03401063160680721, 1740704298243118798, 
-0.10535588564053455, 0.0556073839559499, -0.03541541467174917, 1740704298363368826, 
-0.10540981897584256, 0.033726930850535214, -0.03412062381437792, 1740704298453541952, 
-0.10408740920744419, 0.006307347580895197, -0.02995175663573356, 1740704298553627428, 
-0.10337215058107585, 0.010619354347661697, -0.0295981047934101, 1740704298642746181, 
-0.10462201258441484, -0.0011548253974946491, -0.03277591992557428, 1740704298763674562, 
-0.10511344940893119, -0.007884224505005057, -0.03309300109897706, 1740704298854130381, 
-0.1055807770068089, -0.005080421590370017, -0.029844591210287832, 1740704298952973986, 
-0.10704843582240109, -0.010470797435649042, -0.03008444465555794, 1740704299043493965, 
-0.1036374944769709, 0.006127775791165654, -0.033260445398687555, 1740704299163305612, 
-0.09833953708754839, 0.04337179186556167, -0.032559795159242164, 1740704299254219608, 
-0.0911499970986962, 0.06515503532516861, -0.02795248411694254, 1740704299354024866, 
-0.08646619676693001, 0.062213194315444156, -0.026106325423661907, 1740704299443426227, 
-0.07889782503144094, 0.06413374998813322, -0.024259415612203822, 1740704299543171765, 
-0.07114130017786957, 0.07320319108107162, -0.024800067852374163, 1740704299653147240, 
-0.0610107067396779, 0.08584797875649826, -0.02217220204586277, 1740704299753285195, 
-0.054107080413331676, 0.08873249135743086, -0.01775231924870448, 1740704299843766871, 
-0.04798318700524007, 0.06364885479094441, -0.017171282221100172, 1740704299963845338, 
-0.044405786405459224, 0.04533461252616751, -0.01540092270010816, 1740704300054024039, 
-0.038783324331917335, 0.047940043680622484, -0.012474799279459043, 1740704300154050122, 
-0.03561139033971239, 0.04591718659405593, -0.01123046631269253, 1740704300243088331, 
-0.03618707647915764, 0.014944481227343749, -0.010472731688442264, 1740704300343461626, 
-0.037647963672039264, -0.009484415195528062, -0.011533870398880207, 1740704300453855742, 
-0.03890602341304339, -0.012973151997830785, -0.011801352736292915, 1740704300552814853, 
-0.0431739316470261, -0.029489067567393036, -0.011446460160149807, 1740704300645063612, 
-0.0463709341329448, -0.03687327283733771, -0.01339629429218515, 1740704300761397205, 
-0.047075071371751154, -0.017508852282967925, -0.014329073756960216, 1740704300854829098, 
-0.04796306943373496, -0.008382659693480999, -0.013409161064758842, 1740704300951047849, 
-0.051024180285192955, -0.021142911870011043, -0.013789750526068944, 1740704301043649191, 
-0.0505339991479663, -0.014445791126016301, -0.01572093780451131, 1740704301161331510, 
-0.047213469520394735, 0.020010561729176948, -0.015642603657977074, 1740704301253939307, 
-0.04274296796700838, 0.040760353936268943, -0.01338212368938695, 1740704301351837341, 
-0.03751275045904867, 0.046307120902413644, -0.013339604119811766, 1740704301463238579, 
-0.035208089209214144, 0.037814197354646466, -0.01107077056051006, 1740704301543599085, 
-0.029235782162979618, 0.041430704428309206, -0.009715778159189907, 1740704301653825085, 
-0.022433952026096105, 0.06209206397274673, -0.009008907795922205, 1740704301750991661, 
-0.013184101270270698, 0.07592260915572482, -0.006815663863105513, 1740704301864010460, 
-0.010782441599384462, 0.053407861612460306, -0.004853304493698183, 1740704301960183589, 
-0.013280061070451321, -0.0008466443394166412, -0.003535406898210197, 1740704302053848272, 
-0.011045150553505856, -0.0022676997398155645, -0.003416924636619712, 1740704302154837707, 
-0.010044620624030554, 0.01669313975565354, -0.003263019184671119, 1740704302243725206, 
-0.009390247046940914, 0.00890129814216345, -0.0028780133434889747, 1740704302343683614, 
-0.006596568897927035, 0.015953614356718073, -0.002734809010059117, 1740704302453841079, 
-0.011672288231368455, -0.012444608455318076, -0.0029203426885973534, 1740704302554850445, 
-0.013608182155655069, -0.036003370607751925, -0.0030281330801935073, 1740704302643829431, 
-0.020430933722761502, -0.04027153117561584, -0.004686314887629219, 1740704302759889646, 
-0.021214204049468055, -0.03356137186953382, -0.005802086948896069, 1740704302853847108, 
-0.02290181725201501, -0.012605196094097087, -0.006260097857837399, 1740704302953860000, 
-0.022115687595357425, -0.0040519680773485976, -0.006280461005314567, 1740704303043498292, 
-0.02330775014430886, -0.0015424007502384965, -0.006497505251488594, 1740704303144053370, 
-0.024613030591076335, -0.011868148200841061, -0.007368310440193552, 1740704303253911827, 
-0.027345219862327408, -0.019590759726697146, -0.007900615068746439, 1740704303353991855, 
-0.024721937410005168, 0.0009536301099184966, -0.0072806304005747615, 1740704303443807825, 
-0.023290240496315118, 0.021792436336411137, -0.007136138034417481, 1740704303543386347, 
-0.01953404499421918, 0.024189813269506803, -0.007093980255335203, 1740704303653855995, 
-0.0176491820717537, 0.026424970229611836, -0.00636403469494673, 1740704303753859963, 
-0.012067173386035801, 0.040386875951825385, -0.004682337543926601, 1740704303844000136, 
-0.008915895633688553, 0.04673661341406439, -0.003670654231751595, 1740704303943890527, 
-0.005110342995749306, 0.03307653634400316, -0.002737972498762504, 1740704304053859429, 
