x, y, theta, stamp, ,
1.863720298,0.958190978,0.013602954,1740706013, 95519502), 
1.878085852,0.958486736,0.018788831,1740706013, 193650609), 
1.891104698,0.958949327,0.022438107,1740706013, 285220979), 
1.906356096,0.959684849,0.027466181,1740706013, 395585306), 
1.92066741,0.960160255,0.031392512,1740706013, 495519478), 
1.933068633,0.960644066,0.036948713,1740706013, 592565339), 
1.944515705,0.961204529,0.039266429,1740706013, 685269359), 
1.958489299,0.961950839,0.039527493,1740706013, 795589000), 
1.970545173,0.962518036,0.041600813,1740706013, 895530682), 
1.982394576,0.963100016,0.044073246,1740706013, 991578338), 
1.996093631,0.963902831,0.045363312,1740706014, 105204026), 
2.005929232,0.964594185,0.04706328,1740706014, 195590905), 
2.017035961,0.965382397,0.04963137,1740706014, 295521679), 
2.028507471,0.966089308,0.052446986,1740706014, 391663390), 
2.040673733,0.966854393,0.052226249,1740706014, 505312624), 
2.049439669,0.967483521,0.053360767,1740706014, 595629589), 
2.059971333,0.967983961,0.051329526,1740706014, 695530234), 
2.07058382,0.968515158,0.049561973,1740706014, 795673013), 
2.080887556,0.969275713,0.049561894,1740706014, 905047416), 
2.088557959,0.969430506,0.04956206,1740706014, 995596112), 
2.097781181,0.969878495,0.049272607,1740706015, 91533970), 
2.107331038,0.970355749,0.048377103,1740706015, 191586014), 
2.116603374,0.970964372,0.047118739,1740706015, 301641004), 
2.125068665,0.971308351,0.047611828,1740706015, 399608021), 
2.133297443,0.971716106,0.046564916,1740706015, 491535883), 
2.141956091,0.972200215,0.047628593,1740706015, 590567457), 
2.15059495,0.972594321,0.047263346,1740706015, 700092034), 
2.157618046,0.972990751,0.04777621,1740706015, 796594817), 
2.165286303,0.973336279,0.046813483,1740706015, 895662836), 
2.172758818,0.973881483,0.046813483,1740706015, 995779677), 
2.180049181,0.974182069,0.045855222,1740706016, 85948755), 
2.187948942,0.974604309,0.045061025,1740706016, 196613754), 
2.194390297,0.975183904,0.046576424,1740706016, 295547062), 
2.201355219,0.975456178,0.047506723,1740706016, 395601387), 
2.208826303,0.975788593,0.046568958,1740706016, 505904494), 
2.214717388,0.976258695,0.045369935,1740706016, 595023035), 
2.221237183,0.976605177,0.042813365,1740706016, 695894457), 
2.227310658,0.976963758,0.041575471,1740706016, 795599106), 
2.232829332,0.977259636,0.041299127,1740706016, 885080201), 
2.239403009,0.97772193,0.042188425,1740706016, 995969139), 
2.245399714,0.977922916,0.042188447,1740706017, 95069537), 
2.251191616,0.978275418,0.042089956,1740706017, 195114999), 
2.256285906,0.978511453,0.042896019,1740706017, 286116725), 
2.262113333,0.978895843,0.042531488,1740706017, 395603123), 
2.267303467,0.97905159,0.042906021,1740706017, 495833436), 
2.272636414,0.979252577,0.042874071,1740706017, 595787202), 
2.277384281,0.979416132,0.042883114,1740706017, 685742048), 
2.282816172,0.97966224,0.042741265,1740706017, 795059091), 
