e, e_dot, e_int, stamp, 
1.4142112998365035, 0.0, 0.20113701529074413, 1740704402438430035, 
1.4142112998365035, 0.0, 0.20360300593981198, 1740704402502511325, 
1.4142112998365035, 0.0, 0.23937353905706163, 1740704402551271984, 
1.4142112998365035, 0.0, 0.20303019733045444, 1740704402598220831, 
1.4142112998365035, 0.0, 0.2013888537963851, 1740704402646207752, 
1.4142112998365035, 0.0, 0.20623032274290864, 1740704402695438893, 
1.4142112998365035, 0.0, 0.20594570989039399, 1740704402743291646, 
1.4142112998365035, 0.0, 0.34039968477195515, 1740704402855905100, 
1.4142112998365035, 0.0, 0.33759893545899733, 1740704402902437565, 
1.4142112998365035, 0.0, 0.5078520388102908, 1740704403095309230, 
1.4142112998365035, 0.0, 0.5107938005461666, 1740704403143228457, 
1.4142112998365035, 0.0, 0.23809491738691393, 1740704403207548430, 
1.4142112998365035, 0.0, 0.20517278896789826, 1740704403239947992, 
1.4142112998365035, 0.0, 0.2044201499567592, 1740704403303913167, 
1.4142112998365035, 0.0, 0.2339739134373525, 1740704403350244529, 
1.414579204126733, 0.0018969635759170283, 0.3040179804846853, 1740704403447216420, 
1.4435310737221814, 0.043138524766134397, 0.9569475927903283, 1740704403798219980, 
1.4532059426328452, 0.0910554150347494, 0.9659801106346717, 1740704403895330203, 
1.4586411630113416, 0.09239667445236834, 0.35045469074699526, 1740704403959149606, 
1.4659230863353658, 0.0678240058405303, 0.4554331376812188, 1740704404103396464, 
1.4670558966766443, 0.03121385518812924, 0.5249735783796484, 1740704404198229290, 
1.4654272751783521, -0.002415206766901699, 0.4220593977633473, 1740704404295311159, 
1.4605441311458285, -0.03033369036534913, 0.4576138279754556, 1740704404406565727, 
1.448064311778507, -0.06501343795375097, 0.5601847008633057, 1740704404551452049, 
1.4426462088526921, -0.09973711162870726, 0.4192232241602876, 1740704404599256460, 
1.4291600360427987, -0.1268524623344578, 0.31077812748817296, 1740704404695335123, 
1.4106717006311558, -0.1528176217778535, 0.4452633705973426, 1740704404807203063, 
1.3829422926276054, -0.17884303254916492, 0.5404709899897338, 1740704404951314243, 
1.372807349935112, -0.20164532447200173, 0.40033645274919183, 1740704404999375875, 
1.3621475067815711, -0.2167699699191003, 0.19752586772628175, 1740704405047249552, 
1.328458244443237, -0.21621528056606262, 0.4235678330121376, 1740704405207854719, 
1.3010715308376388, -0.24767955897605257, 0.5119302723016216, 1740704405303748380, 
1.2741009803097272, -0.28400003941181307, 0.3735708212822901, 1740704405399251316, 
1.2490120277739452, -0.2717334184060918, 0.3663694814288096, 1740704405495354971, 
1.2170653687906077, -0.2731662553245654, 0.3891480878704813, 1740704405607341973, 
1.1847355837881288, -0.2549541716355467, 0.467134284078305, 1740704405751261963, 
1.176749128374763, -0.19488976747740366, 0.34404365668253634, 1740704405799623008, 
1.1603187396313364, -0.16838490835773073, 0.25373518663583583, 1740704405895355857, 
1.1397183983954213, -0.17746823816102675, 0.361782682972742, 1740704406007736280, 
1.1228450068610147, -0.17967685867621197, 0.3563692756136219, 1740704406103583462, 
1.1064213619397885, -0.1738548787697017, 0.3226136696756195, 1740704406199256095, 
1.0981145144857962, -0.17234533764686755, 0.23904232678024107, 1740704406247265436, 
1.0731075079206887, -0.16461342904651588, 0.3410456378606162, 1740704406407360271, 
1.0507379864729185, -0.15581550048988285, 0.489762500071597, 1740704406551280693, 
1.0434017446946635, -0.15415879712491742, 0.3039051370971262, 1740704406599265174, 
1.0250773147627334, -0.1718893912725709, 0.22455040140700944, 1740704406695259389, 
1.002998931343821, -0.19452263283120108, 0.3185343546443182, 1740704406806679556, 
0.9940665300338719, -0.19039070600667124, 0.24227122557462358, 1740704406855590150, 
0.9851854404376225, -0.18483354447478176, 0.14373391393242402, 1740704406903072461, 
0.9757646653708486, -0.1912706027516039, 0.14135338625645008, 1740704406951260262, 
0.9669485007608482, -0.18589954142519644, 0.1437525311150232, 1740704407001267481, 
0.9584690639139682, -0.1801866316728888, 0.13936152613961225, 1740704407047332494, 
0.8930616834261508, -0.18469765323184328, 0.5622980967083185, 1740704407400275632, 
0.874081362614915, -0.1921908727425003, 0.6109350424583386, 1740704407495624487, 
0.8566089113485059, -0.1777190035000422, 0.2716663461460304, 1740704407607357971, 
0.8496106232248981, -0.15058374111007633, 0.2065106331292635, 1740704407655691581, 
0.827939354377998, -0.147780272777237, 0.24337002817781625, 1740704407799429612, 
0.8135986344186302, -0.15019658310162048, 0.2984185634790017, 1740704407895274689, 
0.7995664827770671, -0.13748877978453564, 0.2536132189225354, 1740704408007215245, 
0.7816395450974525, -0.15592531484093158, 0.2491376082299916, 1740704408103339766, 
0.7608288645374945, -0.201732410974454, 0.22488278875931664, 1740704408199255756, 
0.7516787385353177, -0.20373339522617503, 0.16511940567183628, 1740704408247288166, 
0.7301565461329661, -0.16230619090996629, 0.23380894975411634, 1740704408407765755, 
0.7177911807700618, -0.13150030418864447, 0.2820108173928448, 1740704408503705173, 
0.7048233243001799, -0.13228292215633308, 0.20614630215748306, 1740704408599282918, 
0.6917361380640127, -0.1357605411406847, 0.2028916637000049, 1740704408695623826, 
0.6775320498970622, -0.13079784497626123, 0.21704640188216107, 1740704408808575903, 
0.6716954626546926, -0.12477269942349659, 0.16337949842091287, 1740704408855724177, 
0.6537093884527664, -0.12450499783744981, 0.1910667256271988, 1740704408999362468, 
