odom_x, odom_y, odom_th, odom_vx, odom_yawrate, pf_x, pf_y, pf_th, stamp, 
-1.660569921568822e-07, 1.9170231269072247e-07, -1.9025775602414212e-06, -4.381524595805647e-07, -2.2138203803478973e-06, -0.006750818123569129, 0.06824257568993546, -0.02338078077068144, 1741907269672309944, 
-1.8681416236177029e-07, 2.1566509644799225e-07, -2.1409959433889644e-06, 0.0, 4.246140861141612e-07, -0.0111981437795945, 0.058481094598987426, -0.022527446264245268, 1741907269864563537, 
-1.8681416236177029e-07, 2.1566508223713754e-07, -2.141006524829245e-06, 4.335789238009211e-07, 5.244850854069227e-06, -0.009896891816580503, 0.04483018539359903, -0.007076947090286672, 1741907270071152146, 
-1.8681416236177029e-07, 2.1566508223713754e-07, -2.141013473483628e-06, 0.0, -3.8093293142082985e-07, -0.008099838006375912, 0.05071521307388359, -0.016886322125559794, 1741907270262891810, 
-1.8681416236177029e-07, 2.1566508223713754e-07, -2.1409849221198353e-06, 0.0, 1.208986645906407e-06, -0.005322284722587669, 0.0412793800658917, -0.01864332732879237, 1741907270471221028, 
-2.0757131835580367e-07, 2.3962786599440733e-07, -2.3794103757463975e-06, 0.0, 1.2944540230819257e-06, -0.003980104155079677, 0.03918483953321179, -0.023841001030000728, 1741907270723324427, 
-2.2832847434983705e-07, 2.6359066396253183e-07, -2.617840748412116e-06, 0.0, 4.3751657585744397e-07, 0.003878231855766433, 0.03677903528696579, -0.015240444376864242, 1741907270822132581, 
-2.490856161330157e-07, 2.8755346193065634e-07, -2.856270529553454e-06, 0.0, 4.99103350648511e-07, 0.007925725730139653, 0.0451405620282185, -0.016948689539317743, 1741907270920325650, 
-2.698427579161944e-07, 3.1151625989878085e-07, -3.09468275665254e-06, -3.431448297496694e-07, -3.222095074306708e-06, 0.017131818920868014, 0.04389467791344378, -0.011381292006560531, 1741907271123339120, 
-2.698427579161944e-07, 3.1151625989878085e-07, -3.0946617471980876e-06, 0.0, 1.8147644498256454e-10, 0.004167194587767293, 0.038111234358516204, -0.01332175708118352, 1741907271223321003, 
4.981758365829592e-07, -5.751037974732753e-07, 5.726885733660327e-06, 1.7287137544086983e-05, 0.00020329967082943767, 0.010101994088190165, 0.03879118862170454, 0.009835727015744181, 1741907271319946380, 
0.012061306275427341, 0.0002205967903137207, 0.07954911832921782, 0.08836585720920657, 0.5059070587158203, 0.024567071980807872, 0.040585065058076804, 0.07632328051363177, 1741907271522948342, 
